name,sanskrit_name,scientific_name,dosha_effect,rasa,virya,key_benefits,preparation,dosage,duration,safety_notes,difficulty_level
Tulsi,Tulsi,Ocimum sanctum,Tridoshic,Pungent,Hot,"Respiratory health, immunity, stress relief","Boil 10-12 fresh tulsi leaves in 1 cup water for 5 minutes. Add honey and ginger if desired.","1 cup, 2-3 times daily","5-7 days","Avoid large doses during pregnancy; may interact with blood-thinning medication.",Beginner
Ashwagandha,Ashwagandha,Withania somnifera,Kapha,Bitter,Hot,"Stress management, energy, sleep","Mix 1 teaspoon of ashwagandha powder in warm milk or water before bed.","1 tsp, once daily at night","4-6 weeks","Avoid in pregnancy; consult a doctor if on thyroid or sedative medication.",Beginner
Turmeric,Haldi,Curcuma longa,Kapha,Bitter,Hot,"Anti-inflammatory, joint health, digestion","Mix 1/2 teaspoon turmeric powder in warm milk or water.","1/2 tsp, 1-2 times daily","1-2 weeks","May increase bleeding risk with blood thinners; avoid high doses before surgery.",Beginner
Neem,Neem,Azadirachta indica,Pitta,Bitter,Cold,"Skin health, blood purification, dental care","Boil a handful of neem leaves in water and use as a wash, or take neem leaf extract as directed.","As directed, typically 1-2 times daily","1-2 weeks","Avoid during pregnancy and in children under 12 without guidance; not for prolonged internal use.",Intermediate
Aloe Vera,Ghritkumari,Aloe barbadensis,Pitta,Sweet,Cold,"Skin healing, digestive health, cooling","Extract fresh gel from an aloe leaf and apply topically, or take 1-2 tbsp of pure aloe juice.","1-2 tbsp juice daily, or apply gel as needed","As needed","Internal use in excess can cause digestive upset; avoid during pregnancy.",Beginner
Brahmi,Brahmi,Bacopa monnieri,Tridoshic,Bitter,Cold,"Memory enhancement, mental clarity","Mix 1/2 teaspoon brahmi powder in warm water or milk.","1/2 tsp, once daily","4-8 weeks","May cause mild digestive upset initially; consult a doctor if on thyroid medication.",Intermediate
Ginger,Adrak,Zingiber officinale,Vata,Pungent,Hot,"Digestion, cold relief, nausea relief","Boil a few slices of fresh ginger in water for 5-10 minutes.","1 cup, 1-2 times daily","3-5 days","Avoid high doses with blood-thinning medication or gallstones.",Beginner
Mint,Pudina,Mentha spicata,Pitta,Pungent,Cold,"Digestion, refreshing, cooling effect","Steep fresh mint leaves in hot water for 5 minutes.","1 cup after meals","As needed","Generally safe; avoid excess in acid reflux-prone individuals.",Beginner
Hibiscus,Japa Pushpa,Hibiscus rosa-sinensis,Pitta,Sour,Cold,"Hair growth, cooling, skin care","Boil dried hibiscus petals in water for 10 minutes to make tea, or grind fresh flowers into a hair paste.","1 cup tea daily, or use paste weekly","2-4 weeks","May lower blood pressure; use caution if already on blood pressure medication.",Beginner
Rose,Gulab,Rosa indica,Pitta,Sweet,Cold,"Stress relief, cooling, skin care","Steep dried rose petals in hot water for 5-7 minutes to make tea.","1 cup, 1-2 times daily","As needed","Generally safe; check for pollen allergies before topical use.",Beginner
Papaya,Papita,Carica papaya,Vata,Sweet,Hot,"Digestion, enzyme support","Eat 1 cup of ripe papaya, or use raw papaya in cooking.","1 cup fresh fruit daily","As needed","Avoid raw/unripe papaya during pregnancy.",Beginner
Curry Leaf,Kadi Patta,Murraya koenigii,Kapha,Bitter,Hot,"Digestion, hair growth","Chew 8-10 fresh curry leaves in the morning, or add to cooking.","8-10 leaves daily","2-4 weeks","Generally safe in food amounts; no major concerns.",Beginner
Peepal,Peepal,Ficus religiosa,Pitta,Astringent,Cold,"Respiratory health, general wellness","Boil peepal bark or leaves in water for 10 minutes and strain.","1 cup, once daily","1-2 weeks","Limited modern research; use under guidance for internal use.",Intermediate
Bamboo,Vansh,Bambusa vulgaris,Pitta,Astringent,Cold,"Bone health, respiratory support","Bamboo shoot extract or powder as per product instructions.","As directed on product","As directed","Ensure shoots are properly processed; raw bamboo shoots can be toxic.",Intermediate
Marigold,Genda,Tagetes erecta,Pitta,Bitter,Cold,"Wound healing, skin care","Crush fresh marigold petals into a paste and apply to minor wounds or skin irritation.","Apply topically as needed","As needed","For external use only; discontinue if irritation occurs.",Beginner
Onion,Pyaz,Allium cepa,Pitta,Pungent,Cold,"Heart health, cooling","Consume raw or cooked onion regularly, or extract juice for topical use.","1 small onion daily in diet","As needed","Raw onion juice may irritate sensitive skin; patch test before topical use.",Beginner
Amla,Amalaki,Phyllanthus emblica,Tridoshic,Sour,Cold,"Immunity, vitamin C source, digestion","Eat 1-2 fresh amla fruits, or take 1 tsp amla powder with water.","1-2 tsp powder daily, or 1-2 fruits","2-4 weeks","Generally very safe; reduce dose if it causes acidity in sensitive individuals.",Beginner
Fenugreek,Methi,Trigonella foenum-graecum,Kapha,Bitter,Hot,"Blood sugar support, digestion, lactation support","Soak 1 tsp fenugreek seeds overnight in water, drink the water and seeds in the morning.","1 tsp seeds daily","2-4 weeks","May lower blood sugar; caution if on diabetes medication.",Beginner
Cinnamon,Dalchini,Cinnamomum verum,Kapha,Pungent,Hot,"Blood sugar support, digestion, warming","Add 1/4 tsp cinnamon powder to warm water or tea.","1/4 tsp, once daily","2-3 weeks","Avoid high doses in liver conditions; use cassia cinnamon cautiously.",Beginner
Black Pepper,Kali Mirch,Piper nigrum,Kapha,Pungent,Hot,"Digestion, respiratory support, enhances nutrient absorption","Add a pinch of fresh ground black pepper to warm water or food.","A pinch, 1-2 times daily","As needed","Avoid excess in acid reflux or ulcer conditions.",Beginner
Fennel,Saunf,Foeniculum vulgare,Pitta,Sweet,Cold,"Digestion, bloating relief, breath freshening","Chew 1 tsp fennel seeds after meals, or steep in hot water for tea.","1 tsp after meals","As needed","Generally very safe; mild allergy possible in rare cases.",Beginner
Coriander,Dhania,Coriandrum sativum,Pitta,Bitter,Cold,"Digestion, cooling, detoxification","Soak 1 tsp coriander seeds in water overnight, strain and drink in the morning.","1 cup, once daily","1-2 weeks","Generally safe in normal food and remedy amounts.",Beginner
Cardamom,Elaichi,Elettaria cardamomum,Kapha,Pungent,Cold,"Digestion, breath freshening, mild diuretic","Add 1-2 crushed cardamom pods to tea or warm water.","1-2 pods daily","As needed","Generally safe; avoid excess if gallstones are present.",Beginner
Licorice,Mulethi,Glycyrrhiza glabra,Vata,Sweet,Cold,"Sore throat relief, respiratory support","Boil a small piece of licorice root in water for 10 minutes, strain and drink.","1 cup, once daily","3-5 days","Avoid prolonged use or high doses in high blood pressure; not for long-term daily use.",Intermediate
Holy Basil Krishna Tulsi,Krishna Tulsi,Ocimum sanctum var. Krishna,Tridoshic,Pungent,Hot,"Immunity, stress relief, respiratory support","Boil 8-10 fresh leaves in 1 cup water for 5 minutes.","1 cup, once or twice daily","5-7 days","Same cautions as regular Tulsi; avoid large doses during pregnancy.",Beginner
Shatavari,Shatavari,Asparagus racemosus,Pitta,Sweet,Cold,"Women's hormonal health, digestion, vitality","Mix 1/2 tsp shatavari powder in warm milk.","1/2 tsp, once or twice daily","4-6 weeks","Consult a doctor if pregnant or on hormone-related medication.",Intermediate
